"","Subject","MD5","TrialType","Number","Element","Experiment","Item","Question","Response","null","RT"
"1144",1606845201,"4d9e2e5a1efa01554321094a5629a93c","Form",3,0,"debrief","NULL","debrief4","The most boring thing on the way to the grocery store is the empty stretch of road outside my neighborhood. the most interesting thing is my neighbor's pen of goats%2C chickens%2C and cow.","",NA
"1145",1606845201,"4d9e2e5a1efa01554321094a5629a93c","Form",3,0,"debrief","NULL","debrief5","There were some instances where I thought one sentence completion was technically grammatically better%2C but I would have had to spend more time looking at it than I was allotted in order to tell which one was better%2C so I just went with the one that sounded better.","",NA
"1146",1606845201,"4d9e2e5a1efa01554321094a5629a93c","Form",3,0,"debrief","NULL","prolificID","5f9c8a4288bc7f15687fb91c","",NA
"1333",1606845487,"715e17b38378d35d6f49ccfcc3f0342a","Form",3,0,"debrief","NULL","debrief1","Should not end a sentence in to but meaning was lost sometimes without it.","",NA
"1334",1606845487,"715e17b38378d35d6f49ccfcc3f0342a","Form",3,0,"debrief","NULL","debrief3","multiple subjects and objects","",NA
"1335",1606845487,"715e17b38378d35d6f49ccfcc3f0342a","Form",3,0,"debrief","NULL","debrief4","The most boring thing I would see would be the cars passing by. The most interesting thing would be the wind turbines.","",NA
"1336",1606845487,"715e17b38378d35d6f49ccfcc3f0342a","Form",3,0,"debrief","NULL","debrief5","For one sentence my computer registered an incoming call and I could not use my keyboard for a second. The sentence timed out.","",NA
"1337",1606845487,"715e17b38378d35d6f49ccfcc3f0342a","Form",3,0,"debrief","NULL","prolificID","5dcf1a3a946f7c05cfac2d25","",NA
"1524",1606845517,"75c9e3062e992760d8a5bd4491800808","Form",3,0,"debrief","NULL","debrief1","No%2C a lot of them ended with prepositions which is technically incorrect.","",NA
"1525",1606845517,"75c9e3062e992760d8a5bd4491800808","Form",3,0,"debrief","NULL","debrief3","They were had to read because they were so choppy with the words showing up one by one. Nothing sounded good because it was choppy.","",NA
"1526",1606845517,"75c9e3062e992760d8a5bd4491800808","Form",3,0,"debrief","NULL","debrief4","Most interesting - the goats at the farm by the road     Most boring - The road itself","",NA
"1527",1606845517,"75c9e3062e992760d8a5bd4491800808","Form",3,0,"debrief","NULL","debrief5","I found it hard to tell what sounded best due to the first part of the sentence being choppy. It lacked flow so it was hard to tell which ending flowed best.","",NA
"1528",1606845517,"75c9e3062e992760d8a5bd4491800808","Form",3,0,"debrief","NULL","prolificID","5f2ae508506fa9425ed8de74","",NA
"1715",1606845518,"a81cf0a9c1b77ba8a843bc92af4dc420","Form",3,0,"debrief","NULL","debrief1","None","",NA
"1716",1606845518,"a81cf0a9c1b77ba8a843bc92af4dc420","Form",3,0,"debrief","NULL","debrief3","None","",NA
"1717",1606845518,"a81cf0a9c1b77ba8a843bc92af4dc420","Form",3,0,"debrief","NULL","debrief4","The most boring thing is the suburban streets.  The most interesting thing is the greenway that parallels one of the streets.  ","",NA
"1718",1606845518,"a81cf0a9c1b77ba8a843bc92af4dc420","Form",3,0,"debrief","NULL","debrief5","None","",NA
"1719",1606845518,"a81cf0a9c1b77ba8a843bc92af4dc420","Form",3,0,"debrief","NULL","prolificID","5ed2a8926d74281068884f56","",NA
"1906",1606845818,"ec4dd3a8ab812918c99a850612cfd387","Form",3,0,"debrief","NULL","debrief1","I think they were grammatically correct%2C but some seemed odd and it was making my head hurt extremely bad (the words flashing by)","",NA
"1907",1606845818,"ec4dd3a8ab812918c99a850612cfd387","Form",3,0,"debrief","NULL","debrief3","they were overly complicated","",NA
"1908",1606845818,"ec4dd3a8ab812918c99a850612cfd387","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be pasture after pasture of farm land. The most interesting thing would be an old fire alert tower from a LONG time ago.","",NA
"1909",1606845818,"ec4dd3a8ab812918c99a850612cfd387","Form",3,0,"debrief","NULL","debrief5","no","",NA
"1910",1606845818,"ec4dd3a8ab812918c99a850612cfd387","Form",3,0,"debrief","NULL","prolificID","55cc7cfb74297e0005235c27","",NA
"2097",1606845985,"2eb4dc1cdf35180c23aee07948f8121e","Form",3,0,"debrief","NULL","debrief1","I thought all the sentence completions were grammatically correct%2C just that some were more colloquial.","",NA
"2098",1606845985,"2eb4dc1cdf35180c23aee07948f8121e","Form",3,0,"debrief","NULL","debrief3","Nothing.","",NA
"2099",1606845985,"2eb4dc1cdf35180c23aee07948f8121e","Form",3,0,"debrief","NULL","debrief4","Boring: The various restaurants.%0AInteresting: The various construction areas.","",NA
"2100",1606845985,"2eb4dc1cdf35180c23aee07948f8121e","Form",3,0,"debrief","NULL","debrief5","No.","",NA
"2101",1606845985,"2eb4dc1cdf35180c23aee07948f8121e","Form",3,0,"debrief","NULL","prolificID","5c857a339a306000166f830e","",NA
"2288",1606845988,"3a9744333a9477085fed5aa49b01b9ed","Form",3,0,"debrief","NULL","debrief1","yes","",NA
"2289",1606845988,"3a9744333a9477085fed5aa49b01b9ed","Form",3,0,"debrief","NULL","debrief3","past tense","",NA
"2290",1606845988,"3a9744333a9477085fed5aa49b01b9ed","Form",3,0,"debrief","NULL","debrief4","the most boring thing%2C traffic%2C the most interesting thing%2C peoples pets","",NA
"2291",1606845988,"3a9744333a9477085fed5aa49b01b9ed","Form",3,0,"debrief","NULL","debrief5","none","",NA
"2292",1606845988,"3a9744333a9477085fed5aa49b01b9ed","Form",3,0,"debrief","NULL","prolificID","5fa57e0114d798058ac6c735","",NA
"2479",1606846022,"d19fd7b18f13473cfff2c8f4c1b5b1cf","Form",3,0,"debrief","NULL","debrief1","They all looked to be grammatically correct to me.","",NA
"2480",1606846022,"d19fd7b18f13473cfff2c8f4c1b5b1cf","Form",3,0,"debrief","NULL","debrief3","Either answer could be considered an appropriate choice for an ending.","",NA
"2481",1606846022,"d19fd7b18f13473cfff2c8f4c1b5b1cf","Form",3,0,"debrief","NULL","debrief4","I would drive past a lot of beautiful trees and boring ugly pot holes along the way to the grocery store.","",NA
"2482",1606846022,"d19fd7b18f13473cfff2c8f4c1b5b1cf","Form",3,0,"debrief","NULL","debrief5","No","",NA
"2483",1606846022,"d19fd7b18f13473cfff2c8f4c1b5b1cf","Form",3,0,"debrief","NULL","prolificID","5deb5bdc3c276326ce510e1b","",NA
"2670",1606846024,"e87bb9845e03301ce8ca9d487704bf4c","Form",3,0,"debrief","NULL","debrief1","From what I noticed%2C yes they were grammerly correct. ","",NA
"2671",1606846024,"e87bb9845e03301ce8ca9d487704bf4c","Form",3,0,"debrief","NULL","debrief3","Many options were very similar except for a word like to","",NA
"2672",1606846024,"e87bb9845e03301ce8ca9d487704bf4c","Form",3,0,"debrief","NULL","debrief4","The most boring would be the same old street signs. Most interesting would be people walking by. ","",NA
"2673",1606846024,"e87bb9845e03301ce8ca9d487704bf4c","Form",3,0,"debrief","NULL","debrief5","No","",NA
"2674",1606846024,"e87bb9845e03301ce8ca9d487704bf4c","Form",3,0,"debrief","NULL","prolificID","5f769b911d73e803b7b0b833","",NA
"2861",1606846030,"92ae8fcae2e3e0456dde02ab40c1b9ac","Form",3,0,"debrief","NULL","debrief1","I thought all of the sentences were grammatically correct.","",NA
"2862",1606846030,"92ae8fcae2e3e0456dde02ab40c1b9ac","Form",3,0,"debrief","NULL","debrief3","Most of them involved giving things or recommending things to various people.","",NA
"2863",1606846030,"92ae8fcae2e3e0456dde02ab40c1b9ac","Form",3,0,"debrief","NULL","debrief4","The most boring thing I would see is my kid's dentist office. The most exciting thing would be the town's totem pole%2C which is rumored to be cursed.","",NA
"2864",1606846030,"92ae8fcae2e3e0456dde02ab40c1b9ac","Form",3,0,"debrief","NULL","debrief5","No.","",NA
"2865",1606846030,"92ae8fcae2e3e0456dde02ab40c1b9ac","Form",3,0,"debrief","NULL","prolificID","59f71f797086f80001941493","",NA
"3052",1606846227,"c0286a96153eae4bb1d388e0c75f491c","Form",3,0,"debrief","NULL","debrief1","I can't really remember.  It all happened too quickly!","",NA
"3053",1606846227,"c0286a96153eae4bb1d388e0c75f491c","Form",3,0,"debrief","NULL","debrief3","They were very repetitive.","",NA
"3054",1606846227,"c0286a96153eae4bb1d388e0c75f491c","Form",3,0,"debrief","NULL","debrief4","The most boring thing I would see would be the landscaping%2C which consists mainly of the same bushes around very similar-looking houses.  The most interesting thing I would see would be the swimming pool and tennis courts.","",NA
"3055",1606846227,"c0286a96153eae4bb1d388e0c75f491c","Form",3,0,"debrief","NULL","debrief5","No","",NA
"3056",1606846227,"c0286a96153eae4bb1d388e0c75f491c","Form",3,0,"debrief","NULL","prolificID","5e40ad9802b22c2ea0856af8","",NA
"3243",1606846274,"9ededdd78c12bd255aaefbacbdb70c98","Form",3,0,"debrief","NULL","debrief1","I think there was a couple that were incorrect but I am not sure of which exactly.","",NA
"3244",1606846274,"9ededdd78c12bd255aaefbacbdb70c98","Form",3,0,"debrief","NULL","debrief3","They all followed similar sentence structures.","",NA
"3245",1606846274,"9ededdd78c12bd255aaefbacbdb70c98","Form",3,0,"debrief","NULL","debrief4","The most boring would be seeing other cars on the road%2C while the most interesting would be if I saw a car accident along the way.","",NA
"3246",1606846274,"9ededdd78c12bd255aaefbacbdb70c98","Form",3,0,"debrief","NULL","debrief5","Not any besides my own mental difficulty of choosing the best choice.","",NA
"3247",1606846274,"9ededdd78c12bd255aaefbacbdb70c98","Form",3,0,"debrief","NULL","prolificID","5eacb62ab72f753349cc8cea","",NA
"3434",1606846281,"3c5ad7c58a0123af91dbfc6b0a5e734c","Form",3,0,"debrief","NULL","debrief1","Most were grammatically correct%2C I think! ","",NA
"3435",1606846281,"3c5ad7c58a0123af91dbfc6b0a5e734c","Form",3,0,"debrief","NULL","debrief3","It referred to an object with a person. ","",NA
"3436",1606846281,"3c5ad7c58a0123af91dbfc6b0a5e734c","Form",3,0,"debrief","NULL","debrief4","I love driving past the ice cream place that is open year-round%2C and am bored by the dry-cleaning place. ","",NA
"3437",1606846281,"3c5ad7c58a0123af91dbfc6b0a5e734c","Form",3,0,"debrief","NULL","debrief5","No.","",NA
"3438",1606846281,"3c5ad7c58a0123af91dbfc6b0a5e734c","Form",3,0,"debrief","NULL","prolificID","5c59c29e340c6b0001e242a6","",NA
"3625",1606846317,"e74f172504b142d6e0154332bf8f4cba","Form",3,0,"debrief","NULL","debrief1","no%2C the sentences that I thought sounded better if they ended in to would be grammatically incorrect.","",NA
"3626",1606846317,"e74f172504b142d6e0154332bf8f4cba","Form",3,0,"debrief","NULL","debrief3","they used indirect objects","",NA
"3627",1606846317,"e74f172504b142d6e0154332bf8f4cba","Form",3,0,"debrief","NULL","debrief4","The most boring thing I would see are the few undeveloped lots along the way.  The most interesting thing I would see might be geese crossing the roads or ducks flying overhead.","",NA
"3628",1606846317,"e74f172504b142d6e0154332bf8f4cba","Form",3,0,"debrief","NULL","debrief5","no","",NA
"3629",1606846317,"e74f172504b142d6e0154332bf8f4cba","Form",3,0,"debrief","NULL","prolificID","5d7431a92a3f0f001a0e4341","",NA
"3816",1606846337,"bcf9b0c9269783d3f9499ce3af676fb5","Form",3,0,"debrief","NULL","debrief1","No","",NA
"3817",1606846337,"bcf9b0c9269783d3f9499ce3af676fb5","Form",3,0,"debrief","NULL","debrief3","Extremely Good","",NA
"3818",1606846337,"bcf9b0c9269783d3f9499ce3af676fb5","Form",3,0,"debrief","NULL","debrief4","Being stuck in traffic..","",NA
"3819",1606846337,"bcf9b0c9269783d3f9499ce3af676fb5","Form",3,0,"debrief","NULL","debrief5","No","",NA
"3820",1606846337,"bcf9b0c9269783d3f9499ce3af676fb5","Form",3,0,"debrief","NULL","prolificID","5fb4fefdcb7a4830bd5585ba","",NA
"4007",1606846503,"c02460fcefddb8d583af545993287f6d","Form",3,0,"debrief","NULL","debrief1","any ending in to","",NA
"4008",1606846503,"c02460fcefddb8d583af545993287f6d","Form",3,0,"debrief","NULL","debrief3","On some%2C both answers could be correct","",NA
"4009",1606846503,"c02460fcefddb8d583af545993287f6d","Form",3,0,"debrief","NULL","debrief4","The most boring item I would see as I walked to the store would be the road or road signs and the most interesting would be the people I pass%2C the sky above%2C and the beautiful fall foliage. ","",NA
"4010",1606846503,"c02460fcefddb8d583af545993287f6d","Form",3,0,"debrief","NULL","debrief5","no","",NA
"4011",1606846503,"c02460fcefddb8d583af545993287f6d","Form",3,0,"debrief","NULL","prolificID","5f8e3f3ed574b922062bbbfe","",NA
"4198",1606846522,"2d0bf503ebd52d672342b53eee91f692","Form",3,0,"debrief","NULL","debrief1","I did not see any obvious grammatical  errors. ","",NA
"4199",1606846522,"2d0bf503ebd52d672342b53eee91f692","Form",3,0,"debrief","NULL","debrief3","Nothing stood out to me. ","",NA
"4200",1606846522,"2d0bf503ebd52d672342b53eee91f692","Form",3,0,"debrief","NULL","debrief4","The most boring thing on the walk is probably walking down my own street as I've seen the houses many times before. The most interesting would possibly be a fancy car driving past.","",NA
"4201",1606846522,"2d0bf503ebd52d672342b53eee91f692","Form",3,0,"debrief","NULL","debrief5","No","",NA
"4202",1606846522,"2d0bf503ebd52d672342b53eee91f692","Form",3,0,"debrief","NULL","prolificID","5f0f99199a5aa40009116587","",NA
"4389",1606846541,"85f96a9df9084be5a55a29e9f10929f8","Form",3,0,"debrief","NULL","debrief1","I think so - I picked the the ___ to option over the the ___ ones because I think that the to makes them grammatically correct.","",NA
"4390",1606846541,"85f96a9df9084be5a55a29e9f10929f8","Form",3,0,"debrief","NULL","debrief3","they seemed to be passive vs. active?","",NA
"4391",1606846541,"85f96a9df9084be5a55a29e9f10929f8","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be the cracks in the sidewalk and the most interesting thing would be the cars driving by.","",NA
"4392",1606846541,"85f96a9df9084be5a55a29e9f10929f8","Form",3,0,"debrief","NULL","debrief5","No%2C all good!","",NA
"4393",1606846541,"85f96a9df9084be5a55a29e9f10929f8","Form",3,0,"debrief","NULL","prolificID","5fc447bb3582c1880190259a","",NA
"4580",1606846610,"f21f1ae1af0ff9f1e93ea7f12464de4a","Form",3,0,"debrief","NULL","debrief1","The sentences felt grammatically correct to me. I didn't find any grammatically incorrect. I was too busy focusing on picking the choice that sounded better.","",NA
"4581",1606846610,"f21f1ae1af0ff9f1e93ea7f12464de4a","Form",3,0,"debrief","NULL","debrief3","Each sentence seemed to deal with some kind of occupation%2C like a curator%2C judge%2C etc.","",NA
"4582",1606846610,"f21f1ae1af0ff9f1e93ea7f12464de4a","Form",3,0,"debrief","NULL","debrief4","The most boring thing would probably be baskets that are placed outside. The most interesting thing would be either the sushi near the deli%2C or what kind of salads they have out. ","",NA
"4583",1606846610,"f21f1ae1af0ff9f1e93ea7f12464de4a","Form",3,0,"debrief","NULL","debrief5","None","",NA
"4584",1606846610,"f21f1ae1af0ff9f1e93ea7f12464de4a","Form",3,0,"debrief","NULL","prolificID","5dceef211c219b03bb77b4ec","",NA
"4771",1606846792,"a0a1ba63d480034c127a1fb1b803bc47","Form",3,0,"debrief","NULL","debrief1","Most seemed grammatically correct.%0ACannot remember specifically.","",NA
"4772",1606846792,"a0a1ba63d480034c127a1fb1b803bc47","Form",3,0,"debrief","NULL","debrief3","The structure of 'I <verb> the <noun> that the <noun>'","",NA
"4773",1606846792,"a0a1ba63d480034c127a1fb1b803bc47","Form",3,0,"debrief","NULL","debrief4","Most boring%2C intersection with a red light.%0AMost interesting%2C driving by a lake.","",NA
"4774",1606846792,"a0a1ba63d480034c127a1fb1b803bc47","Form",3,0,"debrief","NULL","debrief5","No.","",NA
"4775",1606846792,"a0a1ba63d480034c127a1fb1b803bc47","Form",3,0,"debrief","NULL","prolificID","5fa86899f519ba6f291dbf41","",NA
"4962",1606846837,"18030270d9f664a460d50c22948d35ce","Form",3,0,"debrief","NULL","debrief1","yes I think so","",NA
"4963",1606846837,"18030270d9f664a460d50c22948d35ce","Form",3,0,"debrief","NULL","debrief3","that the answer has the word to more often","",NA
"4964",1606846837,"18030270d9f664a460d50c22948d35ce","Form",3,0,"debrief","NULL","debrief4","most boring thing would be miles of nothing to look at and exciting would be nice scenery or autos","",NA
"4965",1606846837,"18030270d9f664a460d50c22948d35ce","Form",3,0,"debrief","NULL","debrief5","none","",NA
"4966",1606846837,"18030270d9f664a460d50c22948d35ce","Form",3,0,"debrief","NULL","prolificID","5d2f6106898bed00010154dd","",NA
"5153",1606846861,"2ad5baf4b69b5f659018d6d1bea34b7c","Form",3,0,"debrief","NULL","debrief1","Yes%2C all are correct.","",NA
"5154",1606846861,"2ad5baf4b69b5f659018d6d1bea34b7c","Form",3,0,"debrief","NULL","debrief3","Nothing","",NA
"5155",1606846861,"2ad5baf4b69b5f659018d6d1bea34b7c","Form",3,0,"debrief","NULL","debrief4","New fresh vegitable will be interesting and nothing is boring ","",NA
"5156",1606846861,"2ad5baf4b69b5f659018d6d1bea34b7c","Form",3,0,"debrief","NULL","debrief5","No","",NA
"5157",1606846861,"2ad5baf4b69b5f659018d6d1bea34b7c","Form",3,0,"debrief","NULL","prolificID","5ef5f905c9f45407829372ab","",NA
"5344",1606846863,"ec687ffddd2ed4bc7b139cfa0c3a3e25","Form",3,0,"debrief","NULL","debrief1","Some I thought weren't correct%2C like a sentence ending with a preposition.","",NA
"5345",1606846863,"ec687ffddd2ed4bc7b139cfa0c3a3e25","Form",3,0,"debrief","NULL","debrief3","Knowing what was right didn't stop me from answering some incorrectly. I guess I just got caught up. Lol","",NA
"5346",1606846863,"ec687ffddd2ed4bc7b139cfa0c3a3e25","Form",3,0,"debrief","NULL","debrief4","The most boring part would be looking at the dirt as I walk. The most interesting part would be to imagine where everyone's going%2C where they live etc.","",NA
"5347",1606846863,"ec687ffddd2ed4bc7b139cfa0c3a3e25","Form",3,0,"debrief","NULL","debrief5","No%2C I did not experience any difficulties.","",NA
"5348",1606846863,"ec687ffddd2ed4bc7b139cfa0c3a3e25","Form",3,0,"debrief","NULL","prolificID","5e9409cd1dabe7246810c3b6","",NA
"5535",1606846875,"5e4d881b1d5d27e797c43128880cd365","Form",3,0,"debrief","NULL","debrief1","I do not remember which ones but I did feel there were a few that were grammatically incorrect. ","",NA
"5536",1606846875,"5e4d881b1d5d27e797c43128880cd365","Form",3,0,"debrief","NULL","debrief3","Some of them did not have a beginning","",NA
"5537",1606846875,"5e4d881b1d5d27e797c43128880cd365","Form",3,0,"debrief","NULL","debrief4","Most of the drive is pretty boring surrounded by corn and bean fields.  The most interesting thing along the drive would be the windmill farm. ","",NA
"5538",1606846875,"5e4d881b1d5d27e797c43128880cd365","Form",3,0,"debrief","NULL","debrief5","no","",NA
"5539",1606846875,"5e4d881b1d5d27e797c43128880cd365","Form",3,0,"debrief","NULL","prolificID","5ee584e4acfd341ac542b0c9","",NA
"5726",1606846892,"008e635ab856a3d314bcc644cfc8fc3b","Form",3,0,"debrief","NULL","debrief1","They all seemed grammatically correct to me. ","",NA
"5727",1606846892,"008e635ab856a3d314bcc644cfc8fc3b","Form",3,0,"debrief","NULL","debrief3","I noticed that many of them included the word to%2C which changed the way it sounded%2C but not the meaning. ","",NA
"5728",1606846892,"008e635ab856a3d314bcc644cfc8fc3b","Form",3,0,"debrief","NULL","debrief4","The most interesting thing would probably be the homes and Christmas decorations. the least interesting would be the pavement.","",NA
"5729",1606846892,"008e635ab856a3d314bcc644cfc8fc3b","Form",3,0,"debrief","NULL","debrief5","I had a tendency to want to pick fast and sometimes i felt a quick second-guess after I submitted the answer. ","",NA
"5730",1606846892,"008e635ab856a3d314bcc644cfc8fc3b","Form",3,0,"debrief","NULL","prolificID","5f96f709baeedd02d679efa5","",NA
"5917",1606846894,"21a4bdc29f5b26573b349e66e6b67d7b","Form",3,0,"debrief","NULL","debrief1","Many could not be clearly understood without the preposition","",NA
"5918",1606846894,"21a4bdc29f5b26573b349e66e6b67d7b","Form",3,0,"debrief","NULL","debrief3","Primarily it was the preposition that was there or missing.","",NA
"5919",1606846894,"21a4bdc29f5b26573b349e66e6b67d7b","Form",3,0,"debrief","NULL","debrief4","I really can't think of anything that would be boring%2C it would be interesting all the way because of the beautiful buildings I would pass and all the other people out walking.","",NA
"5920",1606846894,"21a4bdc29f5b26573b349e66e6b67d7b","Form",3,0,"debrief","NULL","debrief5","No","",NA
"5921",1606846894,"21a4bdc29f5b26573b349e66e6b67d7b","Form",3,0,"debrief","NULL","prolificID","5f0cd090c46f4017b410ccbf","",NA
"6108",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief1","Most of them were grammatically correct but I cannot remember the incorrect ones","",NA
"6109",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief3","They were the same question with differetn topics","",NA
"6110",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief4","The most boring would be grass and the most exciting would be the food in the store","",NA
"6111",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief5","NO","",NA
"6112",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","prolificID","5e6c6e7aff04d6235dc6e5af","",NA
"6299",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief1","yes","",NA
"6300",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief3","nothing","",NA
"6301",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief4","trash cans and flowers ","",NA
"6302",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief5","no%2C but it was too long","",NA
"6303",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","prolificID","56169e435c62cf000f822c76","",NA
"6490",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief1","yes","",NA
"6491",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief3","they all had to or no to","",NA
"6492",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief4","the most boring would be the sidewalk%2C the most interesting would be the shops","",NA
"6493",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief5","no","",NA
"6494",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","prolificID","5f7eae7f2dbd401988c4cffa","",NA
