Subject,MD5,Question,Response,Ungrammatical
1606844558,e972b5f86147c8950466575a2c110e0a,debrief1,Some ended in prepositions.,YES
1606844787,8d65dcc338ec2eeee194df50cd92e113,debrief1,Never end a sentence with a preposition. This made me change some of my choices.,YES
1606844903,f89149b46277f2f13dc06f207fffe3d2,debrief1,"Some of the options seemed incorrect, but most were correct.  I don't remember any specific instances that were incorrect, but I recall thinking that sometimes the other option seemed wrong rather than just worse.",YES
1606845168,d55cc662a9fa010a1777712da398ae2c,debrief1,"I found the sentences ending in to to be grammatically incorrect.  For instance, I remembered the patient the doctor gave the medication to.  However, I chose options like these because including the word to sounded more clear to me compared to I remembered the patient the doctor gave the medication.  I usually do not end my sentences in prepositions even in casual conversation, favoring structures like the patient to whom the doctor gave the medication, but I recognize most people don't do that in informal settings.",YES
1606845201,4d9e2e5a1efa01554321094a5629a93c,debrief1,"Some of the sentence completions ended with a preposition, which is technically incorrect. Often times, these sounded better than the alternative, so I chose them, but I would not have used them in formal writing.",YES
1606845487,715e17b38378d35d6f49ccfcc3f0342a,debrief1,Should not end a sentence in to but meaning was lost sometimes without it.,YES
1606845517,75c9e3062e992760d8a5bd4491800808,debrief1,"No, a lot of them ended with prepositions which is technically incorrect.",YES
1606845818,ec4dd3a8ab812918c99a850612cfd387,debrief1,"I think they were grammatically correct, but some seemed odd and it was making my head hurt extremely bad (the words flashing by)",YES
1606846274,9ededdd78c12bd255aaefbacbdb70c98,debrief1,I think there was a couple that were incorrect but I am not sure of which exactly.,YES
1606846317,e74f172504b142d6e0154332bf8f4cba,debrief1,"no, the sentences that I thought sounded better if they ended in to would be grammatically incorrect.",YES
1606846503,c02460fcefddb8d583af545993287f6d,debrief1,any ending in to,YES
1606846863,ec687ffddd2ed4bc7b139cfa0c3a3e25,debrief1,"Some I thought weren't correct, like a sentence ending with a preposition.",YES
1606846875,5e4d881b1d5d27e797c43128880cd365,debrief1,I do not remember which ones but I did feel there were a few that were grammatically incorrect. ,YES
1606846894,21a4bdc29f5b26573b349e66e6b67d7b,debrief1,Many could not be clearly understood without the preposition,YES
1606846914,f63e8e36188c4c5aceb4ac6ea6d5cf69,debrief1,Most of them were grammatically correct but I cannot remember the incorrect ones,YES
1606846997,33adf98b0a171b6bf5445a60abe30aa6,debrief1,"Most of the sentences seemed grammatically correct to me, but there were some that I wasn't sure about - the ones where there was an option to end in to.",YES
1606847002,cf91bf7447e1fff770293e66b2b481e2,debrief1,"Mostly, but some of them seemed awkard. I can't say which ones because i did feel that they went a bit too fast. ",YES
1606847021,6bf924e843f608722e4fe3e2334f52ef,debrief1,I found about 1/4 to be incorrect,YES
1606847047,4dd460285ad0bfbef124579acec303b6,debrief1,No I don't think all of the sentence completions were grammatically correct. I can't really recall exact sentences since they'e all blurred together but there were definitely a couple. ,YES
1606847116,acce6ddd9b691697a577bb0c18042055,debrief1,No. I don't believe you can end a sentence with to. ,YES
1606847319,a7b08c93c36beb17d231795350392ecf,debrief1,"Some seemed a little off, or at least awkward, although I can't recall them specifically.",YES
1606937497,d8bd34d82a43bfd86ff44a2f20d4e922,debrief1,"Some seemed to be grammatically incorrect, or at least awkward, but I couldn't really remember them enough to specify.",YES
1606937953,df41e8ebc52c6186314218fc396adba7,debrief1,"Yes, some seemed grammatically incorrect, but I don't remember them specifically.",YES
1606939027,fd0438fb998b83b5802457af1d9538d1,debrief1,Some felt like there was more to the sentence,YES
1606939090,b21773e6e87c5f830dc5c2d64db90c27,debrief1,the ones that tried to end with to,YES
1606939123,332c4ad856358ab0f5b6187d29f7762b,debrief1,"The ones that ended in to, I was taught not to end a sentence with a preposition, but the sentence didn't make sense to me without the to either.",YES
1606939348,b0ff9850cf9da1b2083a0a33c3cacba5,debrief1,"There were some cases where some sentences would sound stifled if produced one way over the other.%0AIn general I feel as if one or more inanimate object is present we should probably use the the A the B sentence structure, although this isn't the case all the time.",YES
1606939502,b1ae1f7aeba38a15ef3a7745d87a3df9,debrief1,Yes a couple but I honestly don't remember the specific sentences as they all went so fast.,YES
1606939516,c7694fb281fd7d21450fb7e412c842df,debrief1,"I felt some of them were grammatically incorrect, but those same ones appealed to me anyway. The sentences ending in prepositions, for instance. ",YES
1606939566,7aa7aed4a76dfb86eeb1f48b8ebb15fc,debrief1,"No, not all grammatically correct.  I don't believe you are suppose to end a sentence with to but I think I selected some choices that did end in to. For some reason, they sounded better.",YES
1606939751,4a21e06b9c7aa0b330ebec8c07bdfa46,debrief1,All sentences that ended with the word TO were incorrect.,YES
1606939768,f419e3ff7b176f31dca9a6c891d289a3,debrief1,"Yes, there were a few that may have sounded a little off but I didn't have much time to think about a particular one",YES
1606939783,f88326068df24d359a1e5dc2810f3785,debrief1,"Yes, with at least one of the answers.",YES
1606940098,85f799763a2c8ec4f51c8823ad549d38,debrief1,I found myself selecting sentences that I knew were grammatically incorrect as the most correct-sounding to my ear.,YES
1606943349,0212a7ad091c68db1ac4f661d3d15fd6,debrief1,"I was taught not to end a sentence with a preposition, which was the case for many sentences",YES
1606938790,cc35e5c84c88bb97fd6a2a4e69b03676,debrief1,the ones ending with a preposition,YES
1606940384,1f84ee623e6a2ed5946ed9ee3786ba3e,debrief1,"no. Many ended in the preposition: to. This is not correct, but I often selected it because it sounded better.",YES
